,Linear corr d15N,wt %N,,Linear corr d13C,wt %C
2021_BG_187_COMP_BOTTOM,4.4,0.7,,-28.3,50.1
2021_BG_191_COMP_TOP,2.1,0.4,small peak - d15N data unreliable,-26.1,48.0
2021_BG_191_COMP_MIDDLE,3.2,0.6,,-28.8,46.9
2021_BG_191_COMP_BOTTOM,3.4,0.7,,-28.8,48.9
2021_BG_194_COMP_TOP,2.6,0.5,small peak - d15N data unreliable,-27.5,46.8
2021_BG_194_COMP_MIDDLE,2.9,0.7,,-29.2,46.8
2021_BG_194_COMP_BOTTOM,2.9,0.7,,-29.1,48.4
2021_BG_195_COMP_TOP,2.4,0.5,small peak - d15N data unreliable,-28.9,48.0
2021_BG_195_COMP_MIDDLE,2.8,0.5,small peak - d15N data unreliable,-28.8,47.4
2021_BG_195_COMP_BOTTOM,2.8,0.6,,-29.0,50.1
2021_BG_222_COMP_TOP,2.9,0.4,small peak - d15N data unreliable,-28.9,47.4
2021_BG_222_COMP_MIDDLE,3.3,0.5,small peak - d15N data unreliable,-29.1,48.4
2021_BG_222_COMP_BOTTOM,3.9,0.6,,-29.1,48.3
2021_BG_225_COMP_TOP,3.1,0.5,small peak - d15N data unreliable,-28.2,47.4
2021_BG_225_COMP_MIDDLE,2.9,0.4,small peak - d15N data unreliable,-29.2,46.6
2021_BG_225_COMP_BOTTOM,3.0,0.5,small peak - d15N data unreliable,-29.5,47.6
2021_BG_233_COMP_TOP,3.4,0.3,small peak - d15N data unreliable,-28.9,47.6
2021_BG_233_COMP_MIDDLE,3.0,0.4,small peak - d15N data unreliable,-27.9,49.0
2021_BG_233_COMP_BOTTOM,3.2,0.5,small peak - d15N data unreliable,-28.7,49.9
2021_BG_234_COMP_TOP,2.3,0.4,small peak - d15N data unreliable,-28.2,47.0
2021_BG_234_COMP_MIDDLE,2.2,0.4,small peak - d15N data unreliable,-29.1,47.9
2021_BG_234_COMP_BOTTOM,2.5,0.6,,-29.3,48.7
2021_BG_243_COMP_TOP,3.3,0.6,,-28.0,47.8
2021_BG_243_COMP_MIDDLE,3.0,0.6,small peak - d15N data unreliable,-29.1,47.5
2021_BG_243_COMP_BOTTOM,3.5,0.6,,-29.0,49.7
2021_BG_275_COMP_TOP,3.5,0.5,small peak - d15N data unreliable,-27.8,47.4
2021_BG_275_COMP_MIDDLE,3.3,0.7,,-30.7,48.8
2021_BG_275_COMP_BOTTOM,2.6,0.7,,-30.7,48.7
2021_BG_276_COMP_TOP,3.2,0.5,small peak - d15N data unreliable,-27.0,47.4
2021_BG_276_COMP_MIDDLE,2.9,0.5,small peak - d15N data unreliable,-27.6,48.3
2021_BG_276_COMP_BOTTOM,2.7,0.7,,-28.4,48.1
2021_BG_277_COMP_TOP,3.0,0.5,small peak - d15N data unreliable,-26.9,47.2
2021_BG_277_COMP_MIDDLE,2.7,0.5,small peak - d15N data unreliable,-28.2,49.7
2021_BG_277_COMP_BOTTOM,2.0,0.7,,-29.3,50.1
2021_BG_278_COMP_TOP,3.0,0.5,small peak - d15N data unreliable,-26.2,47.8
2021_BG_278_COMP_MIDDLE,3.2,0.5,small peak - d15N data unreliable,-28.1,47.3
2021_BG_278_COMP_BOTTOM,4.0,0.6,small peak - d15N data unreliable,-28.3,48.0
2021_BG_280_COMP_TOP,3.1,0.4,small peak - d15N data unreliable,-23.0,49.6
2021_BG_280_COMP_MIDDLE,3.5,0.7,,-27.9,47.9
2021_BG_280_COMP_BOTTOM,3.3,0.8,,-28.1,51.0
2021_BG_281_COMP_TOP,2.9,0.5,small peak - d15N data unreliable,-25.4,48.6
2021_BG_281_COMP_MIDDLE,2.6,0.6,,-26.9,50.0
2021_BG_281_COMP_BOTTOM,2.4,0.7,,-28.2,48.2
2021_BG_283_COMP_TOP,3.4,0.5,small peak - d15N data unreliable,-24.4,47.9
2021_BG_283_COMP_MIDDLE,3.7,0.8,,-25.4,49.9
2021_BG_283_COMP_BOTTOM,3.1,0.9,,-26.5,50.5
2021_BG_284_COMP_TOP,2.7,0.4,small peak - d15N data unreliable,-27.9,47.4
2021_BG_284_COMP_MIDDLE,2.7,0.6,,-28.6,49.0
2021_BG_284_COMP_BOTTOM,3.0,0.7,,-28.5,49.9
2021_BG_286_COMP_TOP,3.8,0.4,small peak - d15N data unreliable,-22.3,47.8
2021_BG_286_COMP_MIDDLE,4.0,0.8,,-26.3,48.8
2021_BG_286_COMP_BOTTOM,3.5,0.7,,-27.0,49.7
2021_BG_290_COMP_TOP,2.8,0.4,small peak - d15N data unreliable,-27.7,47.6
2021_BG_290_COMP_MIDDLE,3.0,0.6,,-28.3,47.6
2021_BG_290_COMP_BOTTOM,2.6,0.6,,-28.5,49.6
2021_BG_291_COMP_TOP,3.2,0.4,small peak - d15N data unreliable,-23.7,48.1
2021_BG_291_COMP_MIDDLE,3.5,0.5,small peak - d15N data unreliable,-25.2,49.9
2021_BG_291_COMP_BOTTOM,3.2,0.6,,-26.9,48.7
2021_BG_293_COMP_TOP,1.7,0.4,small peak - d15N data unreliable,-26.2,48.2
2021_BG_293_COMP_MIDDLE,2.5,0.4,small peak - d15N data unreliable,-27.2,48.9
2021_BG_293_COMP_BOTTOM,3.8,0.5,small peak - d15N data unreliable,-28.4,48.9
2021_BG_318_COMP_TOP,3.9,0.5,small peak - d15N data unreliable,-25.6,48.5
2021_BG_318_COMP_MIDDLE,3.4,0.4,small peak - d15N data unreliable,-27.1,48.6
2021_BG_318_COMP_BOTTOM,3.0,0.7,,-26.8,48.6
2021_BG_321_COMP_TOP,3.4,0.7,,-26.1,47.9
2021_BG_321_COMP_MIDDLE,3.3,0.7,,-27.8,48.7
2021_BG_321_COMP_BOTTOM,3.6,0.9,,-28.2,49.1
2021_BG_323_COMP_TOP,2.4,0.4,small peak - d15N data unreliable,-28.0,47.5
2021_BG_323_COMP_MIDDLE,2.3,0.4,small peak - d15N data unreliable,-29.0,46.7
2021_BG_323_COMP_BOTTOM,2.5,0.7,,-29.1,50.9
2021_BG_324_COMP_TOP,2.7,0.5,small peak - d15N data unreliable,-23.4,49.8
2021_BG_324_COMP_MIDDLE,2.8,0.6,small peak - d15N data unreliable,-26.5,47.1
2021_BG_324_COMP_BOTTOM,3.4,0.7,,-28.0,51.2
2021_BG_326_COMP_TOP,2.8,0.5,small peak - d15N data unreliable,-26.6,46.1
2021_BG_326_COMP_MIDDLE,2.9,0.4,small peak - d15N data unreliable,-26.7,47.1
2021_BG_326_COMP_BOTTOM,2.0,0.8,,-29.2,50.4
2021_BG_334_COMP_TOP,2.0,0.4,small peak - d15N data unreliable,-27.4,48.5
2021_BG_334_COMP_MIDDLE,2.5,0.6,,-28.4,49.2
2021_BG_334_COMP_BOTTOM,1.9,0.8,,-28.5,51.7
2021_BG_335_COMP_TOP,2.3,0.7,,-29.1,46.2
2021_BG_335_COMP_MIDDLE,2.8,0.6,,-27.5,48.9
2021_BG_335_COMP_BOTTOM,2.3,0.8,,-28.8,50.8
2021_BG_338_COMP_TOP,2.6,0.3,small peak - d15N data unreliable,-25.3,49.5
2021_BG_338_COMP_MIDDLE,2.6,0.6,small peak - d15N data unreliable,-24.5,51.4
2021_BG_338_COMP_BOTTOM,2.9,0.8,,-27.8,50.4
2021_BG_25_SCAM_ROOT,4.2,0.4,small peak - d15N data unreliable,-29.4,47.7
2021_BG_25_SCAM_RHIZ,3.7,0.5,small peak - d15N data unreliable,-29.9,48.1
2021_BG_25_SCAM_STEM,2.7,0.3,small peak - d15N data unreliable,-29.5,48.4
2021_BG_46_SPPA_ROOT,3.6,0.5,small peak - d15N data unreliable,-14.5,51.9
2021_BG_46_SPPA_STEM,3.2,0.3,small peak - d15N data unreliable,-14.4,51.0
2021_BG_46_SPPA_RHIZ,3.3,0.4,small peak - d15N data unreliable,-14.3,49.9
2021_BG_74_SPPA_ROOT,3.7,0.6,small peak - d15N data unreliable,-14.3,52.7
2021_BG_74_SPPA_RHIZ,3.7,0.4,small peak - d15N data unreliable,-13.8,49.3
2021_BG_74_SPPA_STEM,3.8,0.3,small peak - d15N data unreliable,-14.3,50.8
2021_BG_92_SCAM_STEM,2.9,0.3,small peak - d15N data unreliable,-30.1,45.8
2021_BG_92_SCAM_RHIZ,3.8,0.4,small peak - d15N data unreliable,-30.3,46.4
2021_BG_92_SCAM_ROOT,3.3,0.4,small peak - d15N data unreliable,-30.1,48.6
2021_BG_123_SCAM_RHIZ,3.0,0.5,small peak - d15N data unreliable,-29.8,47.4
