,Linear corr d15N,wt %N,,Linear corr d13C,wt %C
2021_BG_88_COMP_TOP_2,6.1,0.4,small peak - d15N data unreliable,-20.0,50.1
2021_BG_169_COMP_MIDDLE,3.3,0.5,small peak - d15N data unreliable,-28.1,47.2
2021_BG_169_COMP_BOTTOM,3.2,0.6,,-28.5,49.5
2021_BG_173_COMP_TOP,3.6,0.5,small peak - d15N data unreliable,-28.2,48.4
2021_BG_173_COMP_MIDDLE,4.0,0.5,small peak - d15N data unreliable,-28.2,47.9
2021_BG_173_COMP_BOTTOM,3.7,0.7,,-28.6,50.2
2021_BG_175_COMP_TOP,1.4,0.7,,-28.3,47.1
2021_BG_175_COMP_MIDDLE,1.5,0.5,small peak - d15N data unreliable,-27.4,47.8
2021_BG_175_COMP_BOTTOM,2.4,0.6,,-28.2,48.4
2021_BG_176_COMP_TOP,3.4,0.5,small peak - d15N data unreliable,-23.0,49.0
2021_BG_176_COMP_MIDDLE,3.9,0.5,small peak - d15N data unreliable,-22.9,49.8
2021_BG_176_COMP_BOTTOM,3.5,0.8,,-24.6,50.4
2021_BG_178_COMP_TOP,1.5,0.6,,-27.9,48.8
2021_BG_178_COMP_MIDDLE,3.6,0.5,,-28.5,47.5
2021_BG_178_COMP_BOTTOM,2.7,0.6,,-28.5,49.4
2021_BG_181_COMP_TOP,2.9,0.5,small peak - d15N data unreliable,-26.8,48.7
2021_BG_181_COMP_MIDDLE,2.9,0.7,,-28.1,47.9
2021_BG_181_COMP_BOTTOM,2.9,0.7,,-28.6,48.7
2021_BG_182_COMP_TOP,2.5,0.5,small peak - d15N data unreliable,-26.8,48.7
2021_BG_182_COMP_MIDDLE,2.3,0.6,small peak - d15N data unreliable,-29.1,47.7
2021_BG_182_COMP_BOTTOM,2.6,0.7,,-28.9,48.9
2021_BG_186_COMP_TOP,2.2,0.5,small peak - d15N data unreliable,-27.6,48.2
2021_BG_186_COMP_MIDDLE,2.5,0.8,,-28.6,48.3
2021_BG_186_COMP_BOTTOM,2.7,0.6,,-28.9,49.3
2021_BG_187_COMP_TOP,3.4,0.4,small peak - d15N data unreliable,-24.8,47.8
2021_BG_187_COMP_MIDDLE,3.9,0.5,small peak - d15N data unreliable,-27.1,48.8
